city,longitude,latitude,weather_id,weather_main,weather_description,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,wind_gust,date_time,country,sunrise,sunset
Morādābād,78.7833,28.8333,800,Clear,clear sky,22.17,22.11,22.17,22.17,1012,64,10000,1.69,352,1.79,2024-10-23 00:13:12,IN,2024-10-23 06:20:48,2024-10-23 17:37:15
Karnataka,76,13.5,500,Rain,light rain,21.59,22.21,21.59,21.59,1013,92,10000,1.1,10,1.32,2024-10-23 00:22:25,IN,2024-10-23 06:17:51,2024-10-23 18:02:28
Gurgaon,77.0333,28.4667,701,Mist,mist,24.02,24.51,24.02,24.02,1012,78,2500,1.54,240,N/A,2024-10-23 00:13:51,IN,2024-10-23 06:27:26,2024-10-23 17:44:37
Aligarh,78.0833,27.8833,800,Clear,clear sky,24.57,24.39,24.57,24.57,1012,50,10000,1.23,46,1.32,2024-10-23 00:17:38,IN,2024-10-23 06:22:38,2024-10-23 17:41:01
Jalandhar,75.5792,31.3256,800,Clear,clear sky,22.3,21.73,22.3,22.3,1012,44,10000,1.14,56,1.36,2024-10-23 00:17:38,IN,2024-10-23 06:36:15,2024-10-23 17:47:26
Tiruchirappalli,78.6833,10.8167,701,Mist,mist,27.06,31.35,26.61,27.06,1011,94,3000,2.06,260,N/A,2024-10-23 00:17:38,IN,2024-10-23 06:04:52,2024-10-23 17:53:59
Bhubaneswar,85.8333,20.2333,701,Mist,mist,26.12,26.12,25.55,26.12,1010,89,1800,1.54,330,N/A,2024-10-23 00:17:27,IN,2024-10-23 05:44:22,2024-10-23 17:17:18
Salem,78.1667,11.65,501,Rain,moderate rain,23.64,24.41,23.64,23.64,1012,90,10000,1.16,57,1.62,2024-10-23 00:17:39,IN,2024-10-23 06:07:38,2024-10-23 17:55:22
Trivandrum,76.9167,8.4833,211,Thunderstorm,thunderstorm,26.99,30.6,26.99,26.99,1011,89,4000,2.06,180,N/A,2024-10-23 00:17:39,IN,2024-10-23 06:10:01,2024-10-23 18:02:59
Bhiwandi,73.0667,19.3,500,Rain,light rain,29.92,36.92,29.92,29.92,1011,80,10000,0.77,44,0.98,2024-10-23 00:17:40,IN,2024-10-23 06:34:37,2024-10-23 18:09:11
Sahāranpur,77.55,29.9667,800,Clear,clear sky,21.12,20.88,21.12,21.12,1012,61,10000,1.36,65,1.52,2024-10-23 00:17:40,IN,2024-10-23 06:26:55,2024-10-23 17:41:00
Gorakhpur,75.6833,29.45,800,Clear,clear sky,24.32,23.54,24.32,24.32,1012,28,10000,2.62,55,2.74,2024-10-23 00:17:40,IN,2024-10-23 06:33:51,2024-10-23 17:49:00
Guntur,80.45,16.3,804,Clouds,overcast clouds,27.04,30.85,27.04,27.04,1011,90,10000,1.11,244,1.16,2024-10-23 00:18:11,IN,2024-10-23 06:02:26,2024-10-23 17:42:17
Bikaner,73.3,28.0167,800,Clear,clear sky,28.15,27.31,28.15,28.15,1012,32,10000,2.51,251,2.64,2024-10-23 00:27:26,IN,2024-10-23 06:41:55,2024-10-23 18:00:00
Amrāvati,77.75,20.9333,801,Clouds,few clouds,23.17,23.42,23.17,23.17,1012,72,10000,0.59,2,0.64,2024-10-23 00:27:26,IN,2024-10-23 06:17:20,2024-10-23 17:48:59
Noida,77.33,28.58,800,Clear,clear sky,24.16,23.62,24.16,24.16,1012,38,10000,0.2,137,0.56,2024-10-23 00:27:26,IN,2024-10-23 06:26:22,2024-10-23 17:43:19
Jamshedpur,86.1833,22.8,804,Clouds,overcast clouds,23.13,23.35,23.13,23.13,1011,71,10000,0.42,334,0.44,2024-10-23 00:17:41,IN,2024-10-23 05:45:19,2024-10-23 17:13:33
Warangal,79.5833,18,803,Clouds,broken clouds,23.29,23.82,23.29,23.29,1012,82,10000,1.3,19,1.35,2024-10-23 00:17:42,IN,2024-10-23 06:07:23,2024-10-23 17:44:16
Cuttack,85.8793,20.465,804,Clouds,overcast clouds,26.1,26.1,25.53,26.1,1010,77,10000,1.89,349,1.93,2024-10-23 00:17:42,IN,2024-10-23 05:44:23,2024-10-23 17:16:54
Firozabad,78.4167,27.15,800,Clear,clear sky,24.97,24.8,24.97,24.97,1012,49,10000,1.83,57,1.92,2024-10-23 00:17:42,IN,2024-10-23 06:20:34,2024-10-23 17:40:25
Kochi,76.2602,9.9399,500,Rain,light rain,25.99,25.99,25.99,25.99,1010,86,10000,1.63,10,1.86,2024-10-23 00:14:42,IN,2024-10-23 06:13:50,2024-10-23 18:04:24
Bhavnagar,72.15,21.7667,800,Clear,clear sky,29.33,32.12,29.33,29.33,1011,63,10000,0.68,80,0.74,2024-10-23 00:15:54,IN,2024-10-23 06:40:31,2024-10-23 18:10:37
Dehradun,78.0437,30.3256,800,Clear,clear sky,19.06,18.8,19.06,19.06,1014,68,10000,2.48,38,2.34,2024-10-23 00:17:43,IN,2024-10-23 06:25:19,2024-10-23 17:38:39
Durgapur,87.3167,23.4833,803,Clouds,broken clouds,23.75,24.14,23.75,23.75,1010,75,10000,1.93,355,2.1,2024-10-23 00:17:43,IN,2024-10-23 05:41:25,2024-10-23 17:08:23
Asansol,86.9833,23.6833,800,Clear,clear sky,23.65,23.92,23.65,23.65,1011,71,10000,1.68,351,1.76,2024-10-23 00:13:18,IN,2024-10-23 05:42:56,2024-10-23 17:09:31
Kolapur,71.6247,23.8965,800,Clear,clear sky,29.61,30.78,29.61,29.61,1011,52,10000,1.63,342,1.72,2024-10-23 00:17:44,IN,2024-10-23 06:44:36,2024-10-23 18:10:44
Ajmer,74.6333,26.45,801,Clouds,few clouds,25.8,25.64,25.8,25.8,1012,46,10000,1.26,289,1.34,2024-10-23 00:17:44,IN,2024-10-23 06:35:01,2024-10-23 17:56:14
Gulbarga,76.8333,17.3333,803,Clouds,broken clouds,24.04,24.61,24.04,24.04,1012,81,10000,3.19,63,6,2024-10-23 00:17:44,IN,2024-10-23 06:17:48,2024-10-23 17:55:51
Jamnagar,70.0667,22.4667,800,Clear,clear sky,29.75,33.14,29.75,29.75,1011,64,10000,2.39,30,2.69,2024-10-23 00:17:44,IN,2024-10-23 06:49:29,2024-10-23 18:18:18
Ujjain,75.7667,23.1833,800,Clear,clear sky,23.04,22.94,23.04,23.04,1013,59,10000,1.83,165,1.86,2024-10-23 00:27:29,IN,2024-10-23 06:27:21,2024-10-23 17:54:50
